Model,15_puzzle,2048,8_puzzle,arc_agi,arrow_maze,big_bench_symbolic,binario,boolean_expressions,buggy_tables,calcudoko,campsite,car_painting,character_search,checkmate_in_one,cipher,code,combinatorial_calculation,constrained_linear_arrangement,countdown,cryptanalysis,cryptarithm,crypto_kka,crypto_kpa,dyck_language,dyck_language_errors,dyck_language_reasoning_errors,eight_queens_puzzle,element_operations,folio,full_crosswords,futoshiki,game24,goods_exchange,hamiltonian_cycle,hamiltonian_path,hitori,kakurasu,knights_and_knaves,kukurasu,letter_logic_diagram,light_up,lights_out,line_forming_game,logic_puzzle,logical_equations,magic_square,mahjong_type,math_path,mathador,matrix_transformation,maze,minesweeper,mutual_generation_and_restriction,new_operator_calculation,nine_puzzle,nl_navigation,norinori,number_wall,numbrix,object_counting,object_properties,operation,path_movement,pattern_recognition,pooling,reversi,single_choice_self_reasoning,sixteen_puzzle,skyscraper,skyscraper_puzzle,slant,space_reasoning,space_reasoning_tree,stack_permutation,star_battle,star_placement_puzzle,statistical_counting,string,string_deletion_and_modification,string_insertion,string_processing,string_rearrangement,string_splitting,string_synthesis,sudoku,sudoku2,sudoku_with_arithmetic_rules,sum_skyscraper,survo,symbolic_hard,synthesis_and_decomposition,tetris,tic_tac_toe,time_sequence,train_game_card_puzzle,twiddle,web_of_lies,word_sorting,word_sorting_mistake,wordscapes,zebra_logic,zebra_puzzle,zebralogic,overall
openrouter:grok-4,83.33,50.00,83.33,13.04,98.40,68.00,83.33,100.00,40.00,20.00,99.06,29.63,19.12,83.33,20.00,100.00,84.62,87.50,0.00,86.36,100.00,66.67,100.00,20.00,0.00,80.00,100.00,98.80,83.33,78.95,60.75,0.00,60.00,32.14,4.35,34.29,100.00,75.00,100.00,67.95,8.51,90.74,100.00,69.84,100.00,100.00,100.00,0.00,0.00,100.00,81.25,57.05,90.00,83.33,0.00,3.23,65.22,89.04,100.00,80.00,40.00,60.00,99.15,100.00,100.00,98.93,96.97,84.38,14.75,100.00,0.00,100.00,40.00,33.33,66.67,0.00,100.00,100.00,87.50,62.50,50.00,95.83,82.22,95.45,66.75,92.71,90.36,40.27,0.00,99.73,44.87,62.50,88.89,60.00,15.65,55.77,100.00,0.00,100.00,97.50,16.67,98.60,100.00,65.70
o4-mini-2025-04-16,83.33,50.00,5.56,73.52,98.40,100.00,33.33,100.00,40.00,40.00,97.17,25.93,27.94,33.33,100.00,100.00,84.62,81.25,0.00,81.82,100.00,100.00,100.00,60.00,80.00,80.00,98.77,89.22,83.33,63.16,22.43,0.00,40.00,35.71,2.17,41.43,100.00,75.00,100.00,62.82,17.02,75.93,100.00,19.84,80.56,100.00,100.00,0.00,0.00,100.00,81.25,57.69,87.50,83.33,0.00,7.53,63.04,76.71,100.00,40.00,20.00,80.00,98.31,100.00,97.37,98.93,48.48,6.25,32.26,100.00,16.67,100.00,40.00,0.00,16.67,0.00,100.00,100.00,75.00,50.00,25.00,91.67,82.22,95.45,70.14,83.33,80.72,25.79,0.00,74.56,51.28,62.50,88.89,40.00,15.65,63.46,0.00,0.00,100.00,46.25,0.00,98.60,100.00,60.74
gemini-2.5-pro,100.00,50.00,83.33,74.31,99.20,68.00,50.00,100.00,40.00,60.00,99.06,36.30,8.82,33.33,0.00,100.00,82.69,75.00,0.00,77.27,60.00,66.67,83.33,80.00,0.00,100.00,97.95,89.22,83.33,71.05,56.07,0.00,0.00,51.79,1.09,34.29,100.00,50.00,100.00,76.28,13.83,90.74,17.07,30.16,100.00,100.00,87.50,0.00,1.47,100.00,81.25,58.97,77.50,91.67,50.00,5.38,41.30,91.78,100.00,20.00,20.00,0.00,98.31,68.75,94.74,98.93,75.76,1.04,19.82,80.00,4.17,100.00,40.00,0.00,83.33,0.00,100.00,100.00,75.00,37.50,25.00,100.00,77.78,95.45,87.22,95.83,90.36,20.36,0.00,93.30,44.87,62.50,88.89,80.00,15.65,53.85,20.00,0.00,100.00,100.00,16.67,98.60,100.00,59.81
gpt-5-2025-08-07,16.67,50.00,5.56,76.28,0.00,96.00,83.33,0.00,80.00,80.00,96.23,37.78,8.82,83.33,0.00,100.00,84.62,75.00,0.00,86.36,0.00,100.00,100.00,60.00,0.00,100.00,96.72,89.22,83.33,84.21,14.95,0.00,60.00,25.00,9.78,44.29,88.68,50.00,100.00,94.23,13.83,90.74,100.00,30.95,100.00,100.00,87.50,0.00,0.00,100.00,81.25,69.23,75.00,83.33,0.00,3.23,65.22,19.18,100.00,0.00,0.00,60.00,99.15,93.75,94.74,98.93,72.73,6.25,17.97,40.00,16.67,60.00,0.00,0.00,16.67,0.00,100.00,100.00,75.00,50.00,25.00,100.00,82.22,95.45,62.06,100.00,90.36,42.08,0.00,92.61,35.90,62.50,59.26,80.00,15.65,34.62,40.00,0.00,100.00,87.50,16.67,98.60,100.00,56.33
deepseek-r1-250528,83.33,50.00,33.33,55.34,36.80,96.00,0.00,100.00,60.00,40.00,85.85,19.26,8.82,16.67,80.00,100.00,71.15,68.75,0.00,77.27,20.00,83.33,83.33,40.00,0.00,80.00,97.95,89.22,83.33,26.32,12.15,0.00,0.00,26.79,2.17,34.29,100.00,75.00,90.53,82.69,19.15,90.74,100.00,31.75,100.00,100.00,87.50,0.00,0.00,100.00,81.25,59.62,87.50,75.00,16.67,3.23,46.74,54.79,100.00,0.00,0.00,0.00,78.39,100.00,100.00,98.93,93.94,33.33,7.37,71.25,0.00,80.00,40.00,16.67,66.67,0.00,100.00,0.00,75.00,37.50,25.00,95.83,82.22,95.45,66.49,92.71,90.36,7.24,0.00,53.63,37.18,62.50,88.89,70.00,0.00,51.92,40.00,0.00,100.00,83.75,0.00,94.41,100.00,54.37
