Model,code,extensible_zebralogic,knights_and_knaves,line_forming_games,maze,string,sudoku,tetris,traditional_zebralogic,train_game_card_puzzle,overall
openrouter:grok-4,40.00,0.00,100.00,100.00,20.00,70.00,60.00,20.00,100.00,40.00,55.00
gpt-5-2025-08-07,40.00,0.00,100.00,100.00,30.00,40.00,90.00,10.00,100.00,10.00,52.00
o4-mini-2025-04-16,40.00,0.00,100.00,100.00,10.00,60.00,50.00,0.00,90.00,0.00,45.00
gemini-2.5-pro,20.00,0.00,100.00,100.00,10.00,30.00,40.00,0.00,100.00,40.00,44.00
deepseek-r1-250528,40.00,0.00,100.00,100.00,10.00,20.00,40.00,0.00,100.00,0.00,41.00
