Model,code,extensible_zebralogic,knights_and_knaves,line_forming_games,maze,string,sudoku,tetris,traditional_zebralogic,train_game_card_puzzle,overall
gpt-5-2025-08-07,88.20,1.27,100.00,19.24,12.50,66.67,84.49,77.74,100.00,15.94,56.60
openrouter:grok-4,88.20,2.55,100.00,19.07,12.13,94.52,45.14,12.41,100.00,35.15,50.92
deepseek-r1-250528,89.97,11.18,100.00,20.10,8.52,55.56,34.26,75.87,100.00,7.70,50.32
o4-mini-2025-04-16,89.68,0.00,100.00,17.18,8.61,79.01,32.41,50.62,96.67,2.62,47.68
gemini-2.5-pro,48.97,16.36,100.00,17.01,8.61,55.56,22.22,56.11,100.00,42.41,46.73
