Model,code,extensible_zebralogic,knights_and_knaves,line_forming_games,maze,string,sudoku,tetris,traditional_zebralogic,train_game_card_puzzle,overall
gpt-5-2025-08-07,96.71,49.44,85.20,17.59,99.73,57.21,98.00,71.05,99.38,73.77,74.81
openrouter:grok-4,63.09,68.06,56.60,17.81,90.12,92.59,63.29,71.74,98.88,94.14,71.63
gemini-2.5-pro,42.34,14.46,99.40,13.74,86.74,41.51,86.05,59.40,96.88,55.56,59.61
deepseek-r1-250528,94.05,,59.21,18.00,94.39,65.08,92.77,9.93,54.25,89.92,57.76
o4-mini-2025-04-16,95.35,12.08,53.37,16.88,97.76,50.83,86.35,66.64,82.25,,56.15
