Model,code,extensible_zebralogic,knights_and_knaves,line_forming_games,maze,string,sudoku,tetris,traditional_zebralogic,train_game_card_puzzle,overall
gpt-5-2025-08-07,35.00,8.00,100.00,100.00,44.00,48.00,85.00,15.00,94.00,16.00,54.50
openrouter:grok-4,35.00,5.00,100.00,100.00,47.00,43.00,53.00,3.00,97.00,30.00,51.30
claude-sonnet-4-20250514-thinking,32.00,3.00,99.00,100.00,20.00,41.00,58.00,4.00,92.00,18.00,46.70
gemini-2.5-pro,18.00,0.00,99.00,100.00,16.00,40.00,56.00,3.00,88.00,39.00,45.90
deepseek-reasoner,33.00,0.00,97.00,100.00,27.00,39.00,48.00,0.00,92.00,6.00,44.20
deepseek-r1-250528,34.00,0.00,97.00,99.00,26.00,38.00,46.00,0.00,97.00,3.00,44.00
doubao-seed-1-6-250615,29.00,0.00,94.00,100.00,22.00,39.00,48.00,3.00,93.00,2.00,43.00
glm-4.5,30.00,0.00,93.00,99.00,18.00,33.00,54.00,0.00,89.00,7.00,42.30
qwen3-32b,30.00,0.00,97.00,99.00,17.00,22.00,51.00,0.00,90.00,2.00,40.80
doubao-1.5-thinking-pro-250415,30.00,0.00,87.00,100.00,19.00,31.00,48.00,0.00,91.00,1.00,40.70
doubao-seed-1-6-thinking-250615,26.00,3.00,84.00,100.00,21.00,32.00,46.00,5.00,84.00,3.00,40.40
claude-3-7-sonnet-20250219-thinking,28.00,0.00,95.00,99.00,10.00,40.00,45.00,1.00,83.00,2.00,40.30
openrouter:gpt-oss-120b,28.00,0.00,87.00,86.00,26.00,27.00,66.00,2.00,77.00,4.00,40.30
gemini-2.5-flash,16.00,0.00,98.00,99.00,12.00,34.00,42.00,1.00,78.00,12.00,39.20
qwen3-235b-a22b,32.00,0.00,96.00,98.00,13.00,20.00,46.00,0.00,83.00,1.00,38.90
openrouter:gpt-oss-20b,31.00,0.00,68.00,98.00,17.00,21.00,63.00,1.00,78.00,0.00,37.70
glm-4.5-air,27.00,0.00,90.00,99.00,12.00,22.00,36.00,0.00,81.00,2.00,36.90
openrouter:grok-3-mini-beta,28.00,0.00,85.00,97.00,14.00,19.00,33.00,1.00,74.00,4.00,35.50
openrouter:qwq-32b,25.00,0.00,93.00,98.00,13.00,17.00,24.00,0.00,77.00,1.00,34.80
openrouter:kimi-k2-0905,10.00,0.00,80.00,91.00,4.00,24.00,42.00,0.00,88.00,1.00,34.00
deepseek-v3-1-250821,20.00,0.00,73.00,91.00,8.00,17.00,21.00,0.00,74.00,3.00,30.70
deepseek-chat,21.00,0.00,77.00,88.00,4.00,21.00,17.00,0.00,69.00,4.00,30.10
claude-sonnet-4-20250514,12.00,0.00,56.00,95.00,5.00,28.00,25.00,0.00,74.00,2.00,29.70
gpt-5-chat-2025-08-07,23.00,0.00,63.00,86.00,3.00,25.00,24.00,0.00,55.00,4.00,28.30
claude-3-7-sonnet-20250219,8.00,0.00,52.00,69.00,5.00,31.00,18.00,0.00,50.00,1.00,23.40
gpt-4.1,16.00,0.00,36.00,80.00,4.00,17.00,19.00,0.00,59.00,1.00,23.20
doubao-seed-1-6-flash-250615,6.00,0.00,50.00,83.00,3.00,5.00,19.00,0.00,40.00,1.00,20.70
doubao-1.5-pro-32k-250115,2.00,0.00,32.00,63.00,5.00,20.00,10.00,0.00,35.00,0.00,16.70
openrouter:llama-4-maverick,1.00,0.00,31.00,63.00,2.00,11.00,17.00,1.00,33.00,1.00,16.00
openrouter:mistral-small-3.1-24b-instruct,1.00,0.00,26.00,56.00,2.00,7.00,3.00,0.00,43.00,1.00,13.90
gpt-4o,0.00,0.00,12.00,60.00,2.00,11.00,12.00,0.00,28.00,1.00,12.60
openrouter:gemma-3-27b-it,0.00,0.00,19.00,35.00,1.00,4.00,13.00,0.00,28.00,2.00,10.20
